year,tuition
1920-01-01,120
1930-01-01,300
1940-01-01,345
1950-01-01,660
1960-01-01,1005
1970-01-01,2400
1980-01-01,6285
1990-01-01,14280
1991-01-01,15102
1992-01-01,16536
1993-01-01,17775
1994-01-01,18669
1995-01-01,19695
1996-01-01,20490
1997-01-01,21300
1998-01-01,22110
1999-01-01,23058
2000-01-01,24441
2001-01-01,26192
2002-01-01,27549
2003-01-01,28923
2004-01-01,30227
2005-01-01,31600
2006-01-01,32994
2007-01-01,34800
2008-01-01,36030
2009-01-01,37380
2010-01-01,38700
2011-01-01,40050
2012-01-01,41250
2013-01-01,42690
2014-01-01,44184
2015-01-01,46320
2016-01-01,47940
2017-01-01,49617